item_id,condition,anonymous_system_label,question_id,review_label,review_reason,confidence
R144-010,C1,SYSTEM_A,tcmg-v1-002,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-011,C1,SYSTEM_A,tcmg-v1-002,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-012,C2,SYSTEM_A,tcmg-v1-052,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-013,C2,SYSTEM_A,tcmg-v1-052,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-014,C2,SYSTEM_A,tcmg-v1-052,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-015,C1,SYSTEM_A,tcmg-v1-052,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-016,C1,SYSTEM_A,tcmg-v1-052,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-017,C1,SYSTEM_A,tcmg-v1-052,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-018,C2,SYSTEM_A,tcmg-v1-004,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-019,C2,SYSTEM_A,tcmg-v1-004,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-020,C2,SYSTEM_A,tcmg-v1-004,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-021,C1,SYSTEM_A,tcmg-v1-004,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-022,C1,SYSTEM_A,tcmg-v1-004,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-023,C1,SYSTEM_A,tcmg-v1-005,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-024,C1,SYSTEM_A,tcmg-v1-005,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-025,C1,SYSTEM_A,tcmg-v1-005,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-026,C2,SYSTEM_A,tcmg-v1-005,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-027,C2,SYSTEM_A,tcmg-v1-005,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-028,C2,SYSTEM_A,tcmg-v1-005,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-029,C1,SYSTEM_B,tcmg-v1-006,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-030,C1,SYSTEM_B,tcmg-v1-006,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-031,C2,SYSTEM_B,tcmg-v1-006,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-032,C2,SYSTEM_B,tcmg-v1-006,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-033,C2,SYSTEM_B,tcmg-v1-006,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-034,C2,SYSTEM_A,tcmg-v1-007,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-035,C2,SYSTEM_A,tcmg-v1-007,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-036,C2,SYSTEM_A,tcmg-v1-007,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-037,C1,SYSTEM_A,tcmg-v1-007,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-038,C1,SYSTEM_A,tcmg-v1-007,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-039,C1,SYSTEM_A,tcmg-v1-007,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-040,C2,SYSTEM_A,tcmg-v1-053,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-041,C2,SYSTEM_A,tcmg-v1-053,CONTRADICTED,"The Gold fact assigns Vinegar to Blood activation and stasis removal, while the answer explicitly assigns a different traditional class.",HIGH
R144-042,C1,SYSTEM_A,tcmg-v1-053,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-043,C1,SYSTEM_A,tcmg-v1-053,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-044,C1,SYSTEM_A,tcmg-v1-053,CONTRADICTED,"The Gold fact assigns Vinegar to Blood activation and stasis removal, while the answer explicitly assigns a different traditional class.",HIGH
R144-045,C1,SYSTEM_A,tcmg-v1-054,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-046,C1,SYSTEM_A,tcmg-v1-054,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-047,C1,SYSTEM_A,tcmg-v1-054,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-048,C2,SYSTEM_A,tcmg-v1-054,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-049,C2,SYSTEM_A,tcmg-v1-054,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-050,C2,SYSTEM_A,tcmg-v1-054,SUPPORTED,The answer explicitly states the same traditional class as the Gold fact.,HIGH
R144-051,C1,SYSTEM_B,tcmg-v1-010,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-052,C1,SYSTEM_B,tcmg-v1-010,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-053,C1,SYSTEM_B,tcmg-v1-010,NOT_SUPPORTED,The answer mentions spirit calming as a function but explicitly says no traditional class is provided; it therefore does not assert the Gold class fact.,HIGH
R144-054,C2,SYSTEM_B,tcmg-v1-010,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-055,C2,SYSTEM_B,tcmg-v1-010,NOT_SUPPORTED,The answer mentions spirit calming as a function but explicitly says no traditional class is provided; it therefore does not assert the Gold class fact.,HIGH
R144-056,C1,SYSTEM_A,tcmg-v1-011,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-057,C1,SYSTEM_A,tcmg-v1-011,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-058,C1,SYSTEM_A,tcmg-v1-011,NOT_SUPPORTED,"The answer gives properties and meridians but explicitly says Hairy Antler's traditional class is not mentioned, so the Gold class is not expressed.",HIGH
R144-059,C2,SYSTEM_A,tcmg-v1-011,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-060,C2,SYSTEM_A,tcmg-v1-011,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-061,C2,SYSTEM_A,tcmg-v1-011,NOT_SUPPORTED,The answer describes tonic use but explicitly says the traditional class is not mentioned; it does not state the Gold class 'For tonifying weakness'.,MEDIUM
R144-062,C1,SYSTEM_B,tcmg-v1-012,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-063,C1,SYSTEM_B,tcmg-v1-012,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-064,C1,SYSTEM_B,tcmg-v1-012,NOT_SUPPORTED,The answer explicitly says the traditional class is not mentioned and therefore does not express the Gold class Blood activation and stasis removal.,HIGH
R144-065,C2,SYSTEM_B,tcmg-v1-012,SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/ordering differences.",HIGH
R144-066,C2,SYSTEM_B,tcmg-v1-012,SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
R144-067,C2,SYSTEM_B,tcmg-v1-012,NOT_SUPPORTED,"The answer discusses blood-stagnation-related use but explicitly says the traditional class is not mentioned, so the Gold class is not stated.",MEDIUM
R144-068,C2,SYSTEM_A,tcmg-v1-055,PARTIALLY_SUPPORTED,"The answer includes only a limited part of the Gold indication set, such as lichen-related use, while several listed indications are missing.",MEDIUM
R144-069,C1,SYSTEM_A,tcmg-v1-055,PARTIALLY_SUPPORTED,"The answer covers dispelling wind/eliminating damp, warming the center, moving qi, and relieving pain, but omits the Gold component 'disperse swelling'.",MEDIUM
R144-070,C1,SYSTEM_A,tcmg-v1-055,PARTIALLY_SUPPORTED,"The answer includes only part of the Gold indication set and does not express several listed indications such as numbness, cold abdominal pain, and throat swelling pain.",MEDIUM
R144-071,C1,SYSTEM_A,tcmg-v1-056,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-072,C2,SYSTEM_A,tcmg-v1-056,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-073,C2,SYSTEM_A,tcmg-v1-015,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-074,C1,SYSTEM_A,tcmg-v1-015,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-075,C1,SYSTEM_A,tcmg-v1-015,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-076,C1,SYSTEM_A,tcmg-v1-016,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-077,C2,SYSTEM_A,tcmg-v1-016,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-078,C1,SYSTEM_B,tcmg-v1-017,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-079,C2,SYSTEM_B,tcmg-v1-017,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-080,C2,SYSTEM_B,tcmg-v1-017,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-081,C1,SYSTEM_B,tcmg-v1-018,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-082,C1,SYSTEM_B,tcmg-v1-018,SUPPORTED,"The answer uses 'loss of appetite' as a reasonable paraphrase of the source phrase 'no thought of food and drink', while preserving the other indications.",MEDIUM
R144-083,C2,SYSTEM_B,tcmg-v1-018,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-084,C2,SYSTEM_B,tcmg-v1-018,SUPPORTED,"The answer uses 'loss of appetite' as a reasonable paraphrase of the source phrase 'no thought of food and drink', while preserving the other indications.",MEDIUM
R144-085,C2,SYSTEM_A,tcmg-v1-019,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-086,C1,SYSTEM_A,tcmg-v1-019,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-087,C1,SYSTEM_A,tcmg-v1-019,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-088,C2,SYSTEM_A,tcmg-v1-022,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-089,C2,SYSTEM_A,tcmg-v1-022,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-090,C1,SYSTEM_A,tcmg-v1-022,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-091,C1,SYSTEM_A,tcmg-v1-022,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-092,C2,SYSTEM_B,tcmg-v1-023,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-093,C1,SYSTEM_B,tcmg-v1-023,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-094,C1,SYSTEM_B,tcmg-v1-024,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-095,C1,SYSTEM_B,tcmg-v1-024,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-096,C2,SYSTEM_B,tcmg-v1-024,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-097,C2,SYSTEM_A,tcmg-v1-025,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-098,C2,SYSTEM_A,tcmg-v1-025,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-099,C1,SYSTEM_A,tcmg-v1-025,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-100,C2,SYSTEM_B,tcmg-v1-026,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-101,C1,SYSTEM_B,tcmg-v1-026,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-102,C1,SYSTEM_B,tcmg-v1-026,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-103,C2,SYSTEM_A,tcmg-v1-027,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-104,C1,SYSTEM_A,tcmg-v1-027,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-105,C1,SYSTEM_A,tcmg-v1-027,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-106,C1,SYSTEM_A,tcmg-v1-028,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-107,C2,SYSTEM_A,tcmg-v1-028,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-108,C2,SYSTEM_B,tcmg-v1-029,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-109,C2,SYSTEM_B,tcmg-v1-029,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-110,C1,SYSTEM_B,tcmg-v1-029,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-111,C1,SYSTEM_B,tcmg-v1-029,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-112,C2,SYSTEM_A,tcmg-v1-030,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-113,C2,SYSTEM_A,tcmg-v1-030,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-114,C1,SYSTEM_A,tcmg-v1-030,SUPPORTED,"The answer expresses all substantive components of the source-recorded function in the Gold fact, with acceptable paraphrasing.",HIGH
R144-115,C1,SYSTEM_A,tcmg-v1-030,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
R144-116,C2,SYSTEM_A,tcmg-v1-035,SUPPORTED,The answer preserves the substantive causal/clinical meaning of the Gold definition using an acceptable semantic paraphrase.,HIGH
R144-117,C1,SYSTEM_B,tcmg-v1-058,SUPPORTED,"The answer expresses the source-recorded indication set in the Gold fact, with only harmless wording or formatting differences.",HIGH
