question_id,question,c1_gold_evidence_retrieval_recall,c2_gold_evidence_retrieval_recall,delta_gold_evidence_retrieval_recall_c2_minus_c1,c1_gold_evidence_citation_recall,c2_gold_evidence_citation_recall,delta_gold_evidence_citation_recall_c2_minus_c1,c1_citation_precision,c2_citation_precision,delta_citation_precision_c2_minus_c1,c1_latency_ms,c2_latency_ms,delta_latency_ms_c2_minus_c1,c1_multi_target_both_targets_retrieved,c2_multi_target_both_targets_retrieved
"tcmg-v1-018","What source-recorded functions and indications are listed for Lemon Pericarp Equivalent plant: Citrus limonia;Lemon Pericarp?","1","1","0","1","1","0","1","1","0","21703","17628","-4075","",""
"tcmg-v1-019","What source-recorded functions and indications are listed for Capitate Rhododendron?","1","1","0","1","1","0","1","1","0","3570","3547","-23","",""
"tcmg-v1-022","What source-recorded functions and indications are listed for Japanese Sapium?","1","1","0","1","1","0","1","1","0","19302","30959","11657","",""
"tcmg-v1-023","What source-recorded functions and indications are listed for Common Buckwheat Stem?","1","1","0","1","1","0","1","1","0","19791","4337","-15454","",""
"tcmg-v1-024","What source-recorded functions and indications are listed for Tuberose?","1","1","0","1","1","0","1","1","0","3357","14950","11593","",""
"tcmg-v1-025","What source-recorded functions and indications are listed for Creeping Oxalis?","1","1","0","1","1","0","1","1","0","29117","6177","-22940","",""
"tcmg-v1-026","What source-recorded functions and indications are listed for Spiked Loosestrife Equivalent plant: Lythrum anceps?","1","1","0","1","1","0","1","1","0","4391","4409","18","",""
"tcmg-v1-027","What source-recorded functions and indications are listed for Threeflower Clematis?","1","1","0","1","1","0","1","1","0","5279","5337","58","",""
"tcmg-v1-028","What source-recorded functions and indications are listed for Lily Magnolia Bark?","1","1","0","1","1","0","1","1","0","5357","3757","-1600","",""
"tcmg-v1-029","How do the available corpus records describe the functions and indications of Yellow Toadflax?","1","1","0","1","1","0","0.6666666666666666","0.6666666666666666","0","33405","4048","-29357","",""
"tcmg-v1-030","What source-recorded functions and indications are listed for Thunberg Knotweed?","1","1","0","1","1","0","1","1","0","3911","18799","14888","",""
"tcmg-v1-031","What does the TCM Research Corpus record about febrile symptoms?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","24936","4310","-20626","",""
"tcmg-v1-032","What does the TCM Research Corpus record about the heat attacts the pericardium?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","49167","5267","-43900","",""
"tcmg-v1-057","What does the TCM Research Corpus record about Damp Phlegm?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","43220","15661","-27559","",""
"tcmg-v1-034","What does the TCM Research Corpus record about retention of phlegm?","0","0","0","0","0","0","0","0","0","30232","5059","-25173","",""
"tcmg-v1-035","What does the TCM Research Corpus record about distending pain of the hypochondrium due to gallblsdder disorder?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","2972","3273","301","",""
"tcmg-v1-036","What does the TCM Research Corpus record about floating of weak yang?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","15615","28297","12682","",""
"tcmg-v1-037","What does the TCM Research Corpus record about deficiency of the stomach-yin?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","20954","4389","-16565","",""
"tcmg-v1-038","What does the TCM Research Corpus record about sinking of the middle qi?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","14419","13492","-927","",""
"tcmg-v1-040","How does the corpus define weak spleen and stomach, and what source wording is provided?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","8407","14348","5941","",""
"tcmg-v1-058","How are Garden Millingtonia and indigestion with food retention represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","4972","3988","-984","true","true"
"tcmg-v1-044","How are Puncturevine Caltrop Fruit;Tribulus terrestris and accumulation of cold and stasis of qi represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","5003","43667","38664","true","true"
"tcmg-v1-045","How are Sharpspur Corydalis and retention of phlegm in the interior represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","0.6666666666666666","-0.33333333333333337","5852","31730","25878","true","true"
"tcmg-v1-046","How are Suberect Spatholobus and phlegm-damoness obstructing lung represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","0.6666666666666666","0.5","-0.16666666666666663","22802","5196","-17606","true","true"
"tcmg-v1-047","How are Common Sinodielsia and yang exhaustion represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","35859","4198","-31661","true","true"
"tcmg-v1-048","How are Hairy Willowweed and be affected by summer-head-dampness represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","29063","14455","-14608","true","true"
"tcmg-v1-059","How are Creeping Skyflower Leaf and excessiveness of the stomach-fire represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","5213","30206","24993","true","true"
"tcmg-v1-050","How are Bloodflower Milkweed and deficiency of body fluid with dryness in the intestines represented in the TCM corpus, and what evidence is recorded for each?","1","1","0","1","1","0","1","1","0","5502","25296","19794","true","true"
