execution_sequence,question_id,condition,run_status,usable_real_provider_output,provider_failure,retry_required,fallback,provider_attempted,provider_succeeded,latency_ms,gold_fact_count,gold_facts_retrieved,gold_facts_cited,gold_evidence_retrieval_recall,gold_evidence_citation_recall,citation_precision,multi_target,multi_target_both_targets_retrieved,multi_target_both_targets_cited,routing_correctness,failure_reason
"14","tcmg-v1-007","C1","PASS_WITH_RETRY","true","false","true","false","2","1","69217","3","3","3","1","1","0.3333333333333333","false","","","",""
"15","tcmg-v1-053","C2","PASS_WITH_RETRY","true","false","true","false","2","1","73314","3","3","3","1","1","0.3333333333333333","false","","","true",""
"16","tcmg-v1-053","C1","PASS","true","false","false","false","1","1","42196","3","3","3","1","1","0.3333333333333333","false","","","",""
"17","tcmg-v1-054","C1","PASS","true","false","false","false","1","1","11342","3","3","3","1","1","0.3333333333333333","false","","","",""
"18","tcmg-v1-054","C2","PASS_WITH_RETRY","true","false","true","false","2","1","53271","3","3","3","1","1","0.3333333333333333","false","","","true",""
"19","tcmg-v1-010","C1","PASS","true","false","false","false","1","1","2445","3","3","3","1","1","0.3333333333333333","false","","","",""
"20","tcmg-v1-010","C2","PASS","true","false","false","false","1","1","11331","3","3","3","1","1","0.3333333333333333","false","","","true",""
"21","tcmg-v1-011","C1","PASS","true","false","false","false","1","1","2102","3","3","3","1","1","0.3333333333333333","false","","","",""
"22","tcmg-v1-011","C2","PASS","true","false","false","false","1","1","4587","3","3","3","1","1","0.3333333333333333","false","","","true",""
"23","tcmg-v1-012","C1","PASS","true","false","false","false","1","1","2421","3","3","3","1","1","0.3333333333333333","false","","","",""
"24","tcmg-v1-012","C2","PASS_WITH_RETRY","true","false","true","false","2","1","89587","3","3","3","1","1","0.3333333333333333","false","","","true",""
"25","tcmg-v1-055","C2","PASS_WITH_RETRY","true","false","true","false","2","1","68611","2","2","0","1","0","0","false","","","true",""
"26","tcmg-v1-055","C1","PASS","true","false","false","false","1","1","5006","2","2","0","1","0","0","false","","","",""
"27","tcmg-v1-056","C1","PASS","true","false","false","false","1","1","19717","2","2","2","1","1","1","false","","","",""
"28","tcmg-v1-056","C2","PASS_WITH_RETRY","true","false","true","false","2","1","77305","2","2","2","1","1","1","false","","","true",""
"29","tcmg-v1-015","C2","PASS","true","false","false","false","1","1","5259","2","2","2","1","1","1","false","","","true",""
"30","tcmg-v1-015","C1","PASS","true","false","false","false","1","1","24718","2","2","2","1","1","1","false","","","",""
"31","tcmg-v1-016","C1","PASS","true","false","false","false","1","1","35163","2","2","2","1","1","1","false","","","",""
"32","tcmg-v1-016","C2","PASS_WITH_RETRY","true","false","true","false","2","1","49211","2","2","2","1","1","1","false","","","true",""
"33","tcmg-v1-017","C1","PASS","true","false","false","false","1","1","20562","2","2","2","1","1","1","false","","","",""
"34","tcmg-v1-017","C2","PASS","true","false","false","false","1","1","14861","2","2","2","1","1","1","false","","","true",""
"35","tcmg-v1-018","C1","PASS","true","false","false","false","1","1","21703","2","2","2","1","1","1","false","","","",""
"36","tcmg-v1-018","C2","PASS","true","false","false","false","1","1","17628","2","2","2","1","1","1","false","","","true",""
"37","tcmg-v1-019","C2","PASS","true","false","false","false","1","1","3547","2","2","2","1","1","1","false","","","true",""
"38","tcmg-v1-019","C1","PASS","true","false","false","false","1","1","3570","2","2","2","1","1","1","false","","","",""
"39","tcmg-v1-020","C2","FAIL_PROVIDER","false","true","true","true","2","0","70133","2","","","","","","false","","","true","Provider output rejected: LLM request timed out"
"40","tcmg-v1-020","C1","FAIL_PROVIDER","false","true","true","true","2","0","8990","2","","","","","","false","","","","Provider output rejected: sentence links multiple requested entities without co-occurring supporting evidence"
"41","tcmg-v1-021","C1","FAIL_PROVIDER","false","true","true","true","2","0","49669","2","","","","","","false","","","","Provider output rejected: LLM request timed out"
"42","tcmg-v1-021","C2","FAIL_PROVIDER","false","true","true","true","2","0","53792","2","","","","","","false","","","true","Provider output rejected: consecutive repeated token"
"43","tcmg-v1-022","C2","PASS","true","false","false","false","1","1","30959","2","2","2","1","1","1","false","","","true",""
"44","tcmg-v1-022","C1","PASS","true","false","false","false","1","1","19302","2","2","2","1","1","1","false","","","",""
"45","tcmg-v1-023","C2","PASS","true","false","false","false","1","1","4337","2","2","2","1","1","1","false","","","true",""
"46","tcmg-v1-023","C1","PASS","true","false","false","false","1","1","19791","2","2","2","1","1","1","false","","","",""
"47","tcmg-v1-024","C1","PASS","true","false","false","false","1","1","3357","2","2","2","1","1","1","false","","","",""
"48","tcmg-v1-024","C2","PASS","true","false","false","false","1","1","14950","2","2","2","1","1","1","false","","","true",""
"49","tcmg-v1-025","C2","PASS","true","false","false","false","1","1","6177","2","2","2","1","1","1","false","","","true",""
"50","tcmg-v1-025","C1","PASS","true","false","false","false","1","1","29117","2","2","2","1","1","1","false","","","",""
"51","tcmg-v1-026","C2","PASS","true","false","false","false","1","1","4409","2","2","2","1","1","1","false","","","true",""
"52","tcmg-v1-026","C1","PASS","true","false","false","false","1","1","4391","2","2","2","1","1","1","false","","","",""
"53","tcmg-v1-027","C2","PASS","true","false","false","false","1","1","5337","2","2","2","1","1","1","false","","","true",""
"54","tcmg-v1-027","C1","PASS","true","false","false","false","1","1","5279","2","2","2","1","1","1","false","","","",""
"55","tcmg-v1-028","C1","PASS","true","false","false","false","1","1","5357","2","2","2","1","1","1","false","","","",""
"56","tcmg-v1-028","C2","PASS","true","false","false","false","1","1","3757","2","2","2","1","1","1","false","","","true",""
"57","tcmg-v1-029","C2","PASS","true","false","false","false","1","1","4048","2","2","2","1","1","0.6666666666666666","false","","","true",""
"58","tcmg-v1-029","C1","PASS","true","false","false","false","1","1","33405","2","2","2","1","1","0.6666666666666666","false","","","",""
"59","tcmg-v1-030","C2","PASS","true","false","false","false","1","1","18799","2","2","2","1","1","1","false","","","true",""
"60","tcmg-v1-030","C1","PASS","true","false","false","false","1","1","3911","2","2","2","1","1","1","false","","","",""
"61","tcmg-v1-031","C2","PASS","true","false","false","false","1","1","4310","1","1","1","1","1","0.3333333333333333","false","","","true",""
"62","tcmg-v1-031","C1","PASS","true","false","false","false","1","1","24936","1","1","1","1","1","0.3333333333333333","false","","","",""
"63","tcmg-v1-032","C1","PASS_WITH_RETRY","true","false","true","false","2","1","49167","1","1","1","1","1","0.3333333333333333","false","","","",""
"64","tcmg-v1-032","C2","PASS","true","false","false","false","1","1","5267","1","1","1","1","1","0.3333333333333333","false","","","true",""
"65","tcmg-v1-057","C2","PASS","true","false","false","false","1","1","15661","1","1","1","1","1","0.3333333333333333","false","","","true",""
"66","tcmg-v1-057","C1","PASS","true","false","false","false","1","1","43220","1","1","1","1","1","0.3333333333333333","false","","","",""
"67","tcmg-v1-034","C1","PASS","true","false","false","false","1","1","30232","1","0","0","0","0","0","false","","","",""
"68","tcmg-v1-034","C2","PASS","true","false","false","false","1","1","5059","1","0","0","0","0","0","false","","","true",""
"69","tcmg-v1-035","C1","PASS","true","false","false","false","1","1","2972","1","1","1","1","1","0.3333333333333333","false","","","",""
"70","tcmg-v1-035","C2","PASS","true","false","false","false","1","1","3273","1","1","1","1","1","0.3333333333333333","false","","","true",""
"71","tcmg-v1-036","C1","PASS","true","false","false","false","1","1","15615","1","1","1","1","1","0.3333333333333333","false","","","",""
"72","tcmg-v1-036","C2","PASS","true","false","false","false","1","1","28297","1","1","1","1","1","0.3333333333333333","false","","","true",""
"73","tcmg-v1-037","C1","PASS","true","false","false","false","1","1","20954","1","1","1","1","1","0.3333333333333333","false","","","",""
"74","tcmg-v1-037","C2","PASS","true","false","false","false","1","1","4389","1","1","1","1","1","0.3333333333333333","false","","","true",""
"75","tcmg-v1-038","C1","PASS","true","false","false","false","1","1","14419","1","1","1","1","1","0.3333333333333333","false","","","",""
"76","tcmg-v1-038","C2","PASS","true","false","false","false","1","1","13492","1","1","1","1","1","0.3333333333333333","false","","","true",""
"77","tcmg-v1-039","C1","PASS_WITH_RETRY","true","false","true","false","2","1","57036","1","1","1","1","1","0.3333333333333333","false","","","",""
"78","tcmg-v1-039","C2","FAIL_PROVIDER","false","true","true","true","2","0","21603","1","","","","","","false","","","true","Provider output rejected: incomplete paragraph"
"79","tcmg-v1-040","C2","PASS","true","false","false","false","1","1","14348","1","1","1","1","1","0.3333333333333333","false","","","true",""
"80","tcmg-v1-040","C1","PASS","true","false","false","false","1","1","8407","1","1","1","1","1","0.3333333333333333","false","","","",""
"81","tcmg-v1-041","C1","PASS","true","false","false","false","1","1","27651","1","1","1","1","1","0.3333333333333333","false","","","",""
"82","tcmg-v1-041","C2","FAIL_PROVIDER","false","true","true","true","2","0","11860","1","","","","","","false","","","true","Provider output rejected: consecutive repeated token"
"83","tcmg-v1-042","C1","FAIL_PROVIDER","false","true","true","true","2","0","7419","1","","","","","","false","","","","Provider output rejected: consecutive repeated token"
"84","tcmg-v1-042","C2","FAIL_PROVIDER","false","true","true","true","2","0","5827","1","","","","","","false","","","true","Provider output rejected: consecutive repeated token"
"85","tcmg-v1-058","C1","PASS","true","false","false","false","1","1","4972","3","3","3","1","1","1","true","true","true","",""
"86","tcmg-v1-058","C2","PASS","true","false","false","false","2","2","3988","3","3","3","1","1","1","true","true","true","true",""
"87","tcmg-v1-044","C1","PASS","true","false","false","false","1","1","5003","3","3","3","1","1","1","true","true","true","",""
"88","tcmg-v1-044","C2","PASS","true","false","false","false","2","2","43667","3","3","3","1","1","1","true","true","true","true",""
"89","tcmg-v1-045","C2","PASS","true","false","false","false","2","2","31730","3","3","3","1","1","0.6666666666666666","true","true","true","true",""
"90","tcmg-v1-045","C1","PASS","true","false","false","false","1","1","5852","3","3","3","1","1","1","true","true","true","",""
"91","tcmg-v1-046","C2","PASS","true","false","false","false","2","2","5196","3","3","3","1","1","0.5","true","true","true","true",""
"92","tcmg-v1-046","C1","PASS","true","false","false","false","1","1","22802","3","3","3","1","1","0.6666666666666666","true","true","true","",""
"93","tcmg-v1-047","C1","PASS","true","false","false","false","1","1","35859","3","3","3","1","1","1","true","true","true","",""
"94","tcmg-v1-047","C2","PASS","true","false","false","false","2","2","4198","3","3","3","1","1","1","true","true","true","true",""
"95","tcmg-v1-048","C2","PASS","true","false","false","false","2","2","14455","3","3","3","1","1","1","true","true","true","true",""
"96","tcmg-v1-048","C1","PASS","true","false","false","false","1","1","29063","3","3","3","1","1","1","true","true","true","",""
"97","tcmg-v1-059","C2","PASS","true","false","false","false","2","2","30206","3","3","3","1","1","1","true","true","true","true",""
"98","tcmg-v1-059","C1","PASS","true","false","false","false","1","1","5213","3","3","3","1","1","1","true","true","true","",""
"99","tcmg-v1-050","C1","PASS","true","false","false","false","1","1","5502","3","3","3","1","1","1","true","true","true","",""
"100","tcmg-v1-050","C2","PASS","true","false","false","false","2","2","25296","3","3","3","1","1","1","true","true","true","true",""
