question_id,condition,system,anonymous_system_label,usable_real_provider_output,included_in_complete_pair,gold_fact_count,supported_count,partially_supported_count,not_supported_count,contradicted_count,unresolved_count,full_recall,partial_or_better_recall,missing_gold_rate,contradiction_rate,run_status,latency_ms,provider_attempted,provider_succeeded,fallback,gold_evidence_retrieval_recall,gold_evidence_citation_recall,citation_precision
tcmc-v1-035,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,33108,1,1,false,1.0,1.0,1.0
tcmc-v1-035,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4021,1,1,false,1.0,1.0,1.0
tcmc-v1-036,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,29557,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-036,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4281,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-037,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4536,1,1,false,1.0,1.0,1.0
tcmc-v1-037,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5686,1,1,false,1.0,1.0,1.0
tcmc-v1-038,C1,Single-RAG,SYSTEM_A,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,3914,1,1,false,1.0,1.0,1.0
tcmc-v1-038,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,5538,1,1,false,1.0,1.0,1.0
tcmc-v1-039,C1,Single-RAG,SYSTEM_A,true,false,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,3499,1,1,false,1.0,1.0,1.0
tcmc-v1-039,C2,Multi-Agent,SYSTEM_B,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,9732,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-040,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4162,1,1,false,1.0,1.0,1.0
tcmc-v1-040,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,4070,1,1,false,1.0,1.0,1.0
tcmc-v1-041,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,8556,1,1,false,1.0,1.0,1.0
tcmc-v1-041,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,7035,1,1,false,1.0,1.0,1.0
tcmc-v1-042,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3797,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-042,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4117,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-043,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5376,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-043,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,0,1,0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,PASS,26146,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-044,C1,Single-RAG,SYSTEM_A,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,5329,1,1,false,1.0,1.0,1.0
tcmc-v1-044,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,3054,1,1,false,1.0,1.0,1.0
tcmc-v1-045,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,14671,1,1,false,1.0,1.0,1.0
tcmc-v1-045,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3832,1,1,false,1.0,1.0,1.0
tcmc-v1-046,C1,Single-RAG,SYSTEM_A,true,true,3,2,1,0,0,0,0.6666666666666666,1.0,0.0,0.0,PASS,3596,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-046,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5798,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-047,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3731,1,1,false,1.0,1.0,1.0
tcmc-v1-047,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,4726,1,1,false,1.0,1.0,1.0
tcmc-v1-048,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4901,1,1,false,1.0,1.0,1.0
tcmc-v1-048,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2880,1,1,false,1.0,1.0,1.0
tcmc-v1-049,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4808,1,1,false,1.0,1.0,1.0
tcmc-v1-049,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4027,1,1,false,1.0,1.0,1.0
tcmc-v1-050,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4213,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-050,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3474,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-051,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2726,1,1,false,1.0,1.0,1.0
tcmc-v1-051,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3292,1,1,false,1.0,1.0,1.0
tcmc-v1-052,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4030,1,1,false,1.0,1.0,1.0
tcmc-v1-052,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5416,1,1,false,1.0,1.0,1.0
tcmc-v1-053,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4030,1,1,false,1.0,1.0,1.0
tcmc-v1-053,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2744,1,1,false,1.0,1.0,1.0
tcmc-v1-054,C1,Single-RAG,SYSTEM_A,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,5124,1,1,false,1.0,1.0,1.0
tcmc-v1-054,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,5510,1,1,false,1.0,1.0,1.0
tcmc-v1-055,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4190,1,1,false,1.0,1.0,1.0
tcmc-v1-055,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3385,1,1,false,1.0,1.0,1.0
tcmc-v1-056,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2676,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-056,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2316,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-057,C1,Single-RAG,SYSTEM_A,true,true,3,1,0,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,PASS,3504,1,1,false,0.0,0.0,0.0
tcmc-v1-057,C2,Multi-Agent,SYSTEM_B,true,true,3,1,0,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,PASS,4556,1,1,false,0.0,0.0,0.0
tcmc-v1-058,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,6074,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-058,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,6809,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-059,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3701,1,1,false,1.0,1.0,1.0
tcmc-v1-059,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,25090,1,1,false,1.0,1.0,1.0
tcmc-v1-060,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3978,1,1,false,1.0,1.0,1.0
tcmc-v1-060,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3131,1,1,false,1.0,1.0,1.0
tcmc-v1-061,C1,Single-RAG,SYSTEM_A,false,false,1,0,0,0,0,0,,,,,FAIL_PROVIDER,7627,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-061,C2,Multi-Agent,SYSTEM_B,true,false,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS_WITH_RETRY,7544,2,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-062,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,14893,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-062,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3049,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-063,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3976,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-063,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4774,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-064,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3446,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-064,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3301,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-065,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3715,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-065,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,15331,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-066,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4152,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-066,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3610,1,1,false,1.0,1.0,1.0
tcmc-v1-067,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3811,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-067,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3330,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-068,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2644,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-068,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,25539,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-069,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4291,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-069,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4532,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-070,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5317,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-070,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4387,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-071,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2462,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-071,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2507,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-072,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4524,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-072,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4020,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-073,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,6165,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-073,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4475,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-074,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2152,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-074,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2189,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-075,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3682,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-075,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5498,1,1,false,1.0,1.0,0.3333333333333333
