blind_id,case_id,retrieval_condition,answerability,expected_evidence_points,expected_point_judgments,n_expected_points,n_fully_covered,n_partially_covered,n_not_covered,n_contradicted,full_coverage_score,partial_credit_coverage_score,unsupported_claim_present,unsupported_claim_count,contradiction_present,insufficient_handling,judge_confidence,judge_rationale
EV0011,westbench-v0.1-dyspepsia-04,R2,supported,P1: The reviewed study reported frequent anxiety-depression status and associations with demographic and stress-related factors.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Directly reports frequent anxiety/depression and the demographic/stress-related associations, with additional bidirectional and H. pylori context supported by the supplied passages."
EV0012,westbench-v0.1-headache-10,R2,partially_supported,"P1: One review reports benefits for several preventive therapies in selected trials.
P2: Another reports sleep fragmentation and reduced efficiency amid heterogeneous findings.",P1=partially_covered; P2=covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,Covers sleep fragmentation/reduced efficiency amid heterogeneous findings; for management it mentions benefit for galcanezumab but not the broader set of preventive therapies in the frozen point.
EV0013,westbench-v0.1-headache-05,R3,supported,"P1: Some studies report more awakenings, sleep fragmentation, and reduced sleep efficiency despite heterogeneous findings.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly reports increased awakenings/sleep fragmentation and reduced sleep efficiency while preserving the heterogeneous/mixed nature of objective findings.
EV0014,westbench-v0.1-headache-11,R2,partially_supported,"P1: The review describes preliminary promise but says larger, adequately powered studies are needed before treatment-response prediction is established.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately conveys preliminary promise of MEG-based features while stating that larger, adequately powered studies are still needed before individualized treatment-response prediction is established."
EV0015,westbench-v0.1-headache-10,R1,partially_supported,"P1: One review reports benefits for several preventive therapies in selected trials.
P2: Another reports sleep fragmentation and reduced efficiency amid heterogeneous findings.",P1=not_covered; P2=covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,Provides a strong evidence-grounded account of sleep fragmentation/efficiency heterogeneity but does not address preventive-therapy benefits.
EV0016,westbench-v0.1-cough-02,R2,supported,P1: Monitoring periods varied from 6 to 24 hours and studies reported several cough-frequency units.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately reports the 6–24 hour recording range and the reported frequency units (total coughs, coughs/hour, cough seconds, cough events)."
EV0017,westbench-v0.1-dyspepsia-08,R2,supported,"P1: One source frames cognitive-behavioral stress management around stress-related symptoms.
P2: Another reports that structured physical activity may improve symptoms and disease-specific quality of life.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,"Covers stress-related symptom framing and cognitive-behavioral stress management, and also reports structured exercise as potentially improving symptoms and disease-specific quality of life."
EV0018,westbench-v0.1-dyspepsia-09,R0,supported,"P1: The acotiamide pooled symptom estimate did not reach statistical significance.
P2: Physical-approach evidence was too heterogeneous for a confident pooled effect.",P1=not_covered; P2=covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,"Accurately explains the physical-approach heterogeneity limitation, but does not report the frozen acotiamide finding that the pooled symptom estimate failed to reach statistical significance."
EV0019,westbench-v0.1-cough-10,R3,partially_supported,"P1: Cough-challenge methods varied across protocols and delivery choices.
P2: Outcome measures varied in validation and applicability to chronic respiratory diseases.
P3: The honey review reported risk-of-bias and evidence-certainty limitations.",P1=covered; P2=partially_covered; P3=not_covered,3,1,1,1,0,0.3333333333333333,0.5,False,0,False,,high,"Explicitly identifies cough-challenge standardization problems and outcome heterogeneity, but only partly addresses validation/applicability and does not cover the honey review limitation."
EV0020,westbench-v0.1-headache-07,R1,supported,P1: The literature emphasizes sensory dysfunction while the affective dimension remains comparatively underexplored.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately states that MEG literature emphasizes sensory/neurophysiological dimensions while the affective dimension remains comparatively underexplored.
EV0021,westbench-v0.1-constipation-12,R2,insufficient,P1: Both intervention reviews identify important trial-design limitations and needs for stronger randomized evidence.,P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,appropriate_bounded_insufficiency,high,Clearly states that long-term cross-intervention/age-group effectiveness is not established and gives bounded pediatric neuromodulation context; it covers trial limitations for neuromodulation but not both intervention reviews.
EV0022,westbench-v0.1-dyspepsia-02,R3,supported,P1: Clinical heterogeneity in interventions and outcome measurement prevented quantitative synthesis and firm conclusions.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly explains that heterogeneity in interventions and outcome measurement prevented quantitative synthesis and a firm effect-size conclusion.
EV0023,westbench-v0.1-constipation-11,R0,partially_supported,P1: The review identifies only two measures developed and validated in Asian cultural contexts and limited reporting for digital formats.,P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,,high,"Accurately identifies the two Asian-context PROMs and the cultural/language limitation, but does not address the frozen limitation in reporting/validation of digital formats."
EV0024,westbench-v0.1-cough-06,R3,supported,"P1: Programs combined components such as cough suppression, education, laryngeal care, breathing exercises, counseling, and related therapies.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately identifies the multi-component cough programs, including education, laryngeal care/hydration, cough suppression/control, psychoeducational counseling, breathing exercises, and speech/physiotherapy components."
EV0025,westbench-v0.1-headache-06,R2,supported,"P1: Only one large study supplied prevalence data, and the review calls the evidence limited.",P1=contradicted,1,0,0,0,1,0,0,True,1,True,,high,"The answer says the pilot provides no clear cluster-headache prevalence measure, which conflicts with the frozen point that one large study did provide prevalence data; it therefore misses and contradicts the key population-evidence finding."
EV0026,westbench-v0.1-headache-01,R0,supported,"P1: Visual studies repeatedly reported increased P100m amplitude with repeated stimulation, consistent with altered sensory processing.",P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,,high,Captures altered visual sensory processing but does not identify the recurring increased-P100m potentiation pattern specified by the frozen point.
EV0027,westbench-v0.1-cough-04,R3,supported,"P1: Selected pediatric cough outcomes improved in the reviewed studies.
P2: The certainty of the evidence was generally low or very low, with risk-of-bias limitations reported by the review.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,Reports pediatric cough benefits for selected outcomes and clearly preserves the review's low/very-low certainty and risk-of-bias/imprecision limitations.
EV0028,westbench-v0.1-dyspepsia-09,R2,supported,"P1: The acotiamide pooled symptom estimate did not reach statistical significance.
P2: Physical-approach evidence was too heterogeneous for a confident pooled effect.",P1=covered; P2=not_covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,Correctly reports the nonsignificant pooled acotiamide symptom estimate; the supplied answer explicitly lacks the physical-approach heterogeneity finding.
EV0029,westbench-v0.1-headache-10,R3,partially_supported,"P1: One review reports benefits for several preventive therapies in selected trials.
P2: Another reports sleep fragmentation and reduced efficiency amid heterogeneous findings.",P1=covered; P2=partially_covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,Covers benefits of several preventive CGRP therapies; it acknowledges uncertain sleep findings but does not specifically report the frozen fragmentation/reduced-efficiency pattern.
EV0030,westbench-v0.1-dyspepsia-10,R2,supported,"P1: The sources associate psychological factors and stress with symptom development or severity.
P2: They describe stress-management, relaxation, or breathing approaches as research targets.",P1=covered; P2=not_covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,"Covers the association of stress/psychological factors with functional-dyspepsia symptoms and severity, but does not describe stress-management, relaxation, or breathing approaches as research targets."
EV0031,westbench-v0.1-headache-01,R3,supported,"P1: Visual studies repeatedly reported increased P100m amplitude with repeated stimulation, consistent with altered sensory processing.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Explicitly identifies increased P100m amplitude with repeated visual stimulation (potentiation), matching the frozen recurring visual-processing pattern."
EV0032,westbench-v0.1-headache-07,R3,supported,P1: The literature emphasizes sensory dysfunction while the affective dimension remains comparatively underexplored.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately states that MEG literature emphasizes sensory/neurophysiological dimensions while the affective dimension remains comparatively underexplored.
EV0033,westbench-v0.1-dyspepsia-02,R2,supported,P1: Clinical heterogeneity in interventions and outcome measurement prevented quantitative synthesis and firm conclusions.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly explains that heterogeneity in interventions and outcome measurement prevented quantitative synthesis and a firm effect-size conclusion.
EV0034,westbench-v0.1-constipation-06,R0,supported,P1: The review reported a higher pooled prevalence in community-based than clinic-based populations.,P1=contradicted,1,0,0,0,1,0,0,True,2,True,,high,The answer misses the frozen pooled comparison and instead gives an incorrect clinic prevalence figure/direction; it also adds an unsupported healthcare-access explanation.
EV0035,westbench-v0.1-constipation-09,R2,supported,"P1: The prevalence review estimates frequency and associated factors across Asian populations.
P2: The intervention review evaluates improvement when neuromodulation is added to other therapy.",P1=covered; P2=partially_covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,Correctly characterizes the prevalence review; it identifies neuromodulation as the intervention question but does not clearly state the frozen added-to-other-therapy comparison.
EV0036,westbench-v0.1-dyspepsia-12,R2,insufficient,,,0,0,0,0,0,,,False,0,False,appropriate_bounded_insufficiency,high,The answer appropriately states that the supplied evidence does not provide a complete head-to-head comparison establishing a superior non-drug strategy.
EV0037,westbench-v0.1-dyspepsia-11,R2,insufficient,P1: The review identifies potential short-term adjunctive value but calls for further trials and does not establish multi-year durability.,P1=contradicted,1,0,0,0,1,0,0,True,1,True,overclaim_beyond_pilot_evidence,high,"The answer correctly notes heterogeneity, but claims symptom and quality-of-life improvements several years after treatment, which the supplied evidence does not establish."
EV0038,westbench-v0.1-constipation-05,R2,supported,P1: The review describes several digital administration formats but notes limited reporting about digitization and validation procedures.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately covers the digital administration formats and explicitly notes that digitization and validation procedures were not detailed.
EV0039,westbench-v0.1-dyspepsia-08,R0,supported,"P1: One source frames cognitive-behavioral stress management around stress-related symptoms.
P2: Another reports that structured physical activity may improve symptoms and disease-specific quality of life.",P1=partially_covered; P2=covered,2,1,1,0,0,0.5,0.75,True,1,False,,medium,"Covers structured exercise benefits and a relaxation-based stress intervention, but does not specifically capture the cognitive-behavioral stress-management framing; the claim that the approaches may work synergistically goes beyond the supplied evidence."
EV0040,westbench-v0.1-headache-05,R0,supported,"P1: Some studies report more awakenings, sleep fragmentation, and reduced sleep efficiency despite heterogeneous findings.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly reports increased awakenings/sleep fragmentation and reduced sleep efficiency while preserving the heterogeneous/mixed nature of objective findings.
EV0041,westbench-v0.1-dyspepsia-08,R1,supported,"P1: One source frames cognitive-behavioral stress management around stress-related symptoms.
P2: Another reports that structured physical activity may improve symptoms and disease-specific quality of life.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,Directly covers cognitive-behavioral stress management in relation to stress symptoms and structured aerobic exercise in relation to symptom/quality-of-life improvement.
EV0042,westbench-v0.1-headache-04,R1,supported,P1: The review reported a lower pooled prevalence for migraine than for tension-type headache in China.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer explicitly states that pooled tension-type headache prevalence was higher than pooled migraine prevalence, matching the expected comparison."
EV0043,westbench-v0.1-headache-02,R3,supported,"P1: Studies varied in migraine subtypes, clinical characteristics, timing definitions, medication reporting, and reporting standards.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,The answer captures variation in migraine subtypes and clinical characteristics together with inconsistent interictal-period and medication reporting.
EV0044,westbench-v0.1-dyspepsia-10,R3,supported,"P1: The sources associate psychological factors and stress with symptom development or severity.
P2: They describe stress-management, relaxation, or breathing approaches as research targets.",P1=covered; P2=not_covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,"Accurately describes psychological factors and bidirectional gut-brain pathways, but does not address the frozen intervention/research-target point."
EV0045,westbench-v0.1-dyspepsia-05,R3,supported,"P1: Trials used several questionnaires and visual scales, with heterogeneous outcome instruments across studies.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately identifies the mix of questionnaires/visual scales and the heterogeneous outcome instruments used across movement- or body-based trials.
EV0046,westbench-v0.1-constipation-07,R2,supported,"P1: Most included studies were single-arm and only one underpowered randomized trial was available, limiting causal inference.",P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,,high,"The answer notes small non-randomized cohorts as a causal limitation, but does not convey that most included studies were single-arm and only one underpowered randomized trial was available."
EV0047,westbench-v0.1-cough-12,R0,insufficient,,,0,0,0,0,0,,,True,2,False,appropriate_bounded_insufficiency,medium,"The answer appropriately says cross-setting generalizability is not established, but adds unsupported claims about most screening studies being from English-speaking countries and device-dependent accuracy."
EV0048,westbench-v0.1-constipation-08,R3,supported,"P1: The prevalence literature used differing diagnostic criteria, while the PROM review identified numerous instruments spanning different symptom or quality-of-life and administration contexts.",P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,,high,"The answer clearly covers differing diagnostic criteria and mentions symptom/QoL questionnaire variation, but does not capture the breadth of PROM instruments and administration contexts."
EV0049,westbench-v0.1-constipation-07,R3,supported,"P1: Most included studies were single-arm and only one underpowered randomized trial was available, limiting causal inference.",P1=not_covered,1,0,0,1,0,0,0,False,0,False,,high,"The answer gives protocol and mechanistic/correlational limitations, but does not communicate the expected study-design limitation of predominantly single-arm evidence with one underpowered randomized trial."
EV0050,westbench-v0.1-constipation-01,R2,supported,"P1: Common domains include abdominal pain, bloating, bowel-movement frequency, and straining.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer explicitly includes abdominal pain, bloating, bowel-movement frequency, and straining."
EV0051,westbench-v0.1-cough-01,R3,supported,P1: The review identifies the Leicester Cough Questionnaire as the most commonly used validated cough quality-of-life measure.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,The answer correctly identifies the Leicester Cough Questionnaire as the most commonly used cough-related quality-of-life measure in the reviewed asthma studies.
EV0052,westbench-v0.1-constipation-08,R2,supported,"P1: The prevalence literature used differing diagnostic criteria, while the PROM review identified numerous instruments spanning different symptom or quality-of-life and administration contexts.",P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,,high,"The answer covers diagnostic heterogeneity and symptom-versus-QoL PROM differences, but omits the expected diversity of instrument functions and administration contexts."
EV0053,westbench-v0.1-dyspepsia-03,R1,supported,"P1: Pooled symptom improvement favored acotiamide but did not reach statistical significance.
P2: The analyzed adverse-effect outcomes did not differ significantly from placebo.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,The answer correctly states that pooled symptom improvement favored acotiamide without statistical significance and that analyzed adverse-effect outcomes did not significantly differ from placebo.
EV0054,westbench-v0.1-dyspepsia-11,R0,insufficient,P1: The review identifies potential short-term adjunctive value but calls for further trials and does not establish multi-year durability.,P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,appropriate_bounded_insufficiency,high,"The answer captures potential adjunctive benefit and explicitly says long-term benefit cannot be determined, but does not clearly identify the evidence as short-term."
EV0055,westbench-v0.1-dyspepsia-05,R1,supported,"P1: Trials used several questionnaires and visual scales, with heterogeneous outcome instruments across studies.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately identifies the mix of questionnaires/visual scales and the heterogeneous outcome instruments used across movement- or body-based trials.
EV0056,westbench-v0.1-constipation-04,R1,supported,P1: The pooled studies favored transcutaneous neuromodulation used with other therapies over comparison care.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,The answer directly states that transcutaneous neuromodulation used as an adjunct to other care favored improvement in pediatric constipation outcomes.
EV0057,westbench-v0.1-dyspepsia-10,R0,supported,"P1: The sources associate psychological factors and stress with symptom development or severity.
P2: They describe stress-management, relaxation, or breathing approaches as research targets.",P1=covered; P2=covered,2,2,0,0,0,1,1,True,1,False,,medium,Covers stress-related symptom severity and identifies cognitive-behavioral stress management as an uncertain research target; the direct claim that stress acts through altered gut motility/visceral hypersensitivity is not established by the supplied passages.
EV0058,westbench-v0.1-cough-08,R1,supported,"P1: The asthma review documents objective cough monitoring and validated patient-reported cough-related quality-of-life measures.
P2: The chronic-cough intervention review uses objective cough counts as an intervention outcome.",P1=covered; P2=contradicted,2,1,0,0,1,0.5,0.5,True,1,True,,high,"The asthma-review description is accurate, but the answer characterizes the chronic-cough intervention review as relying more on patient-reported measures and de-emphasizing objective monitoring instead of reporting objective cough counts as an intervention outcome."
EV0059,westbench-v0.1-cough-12,R2,insufficient,,,0,0,0,0,0,,,True,1,False,appropriate_bounded_insufficiency,medium,"The answer correctly states that broad cross-setting and independent-hospital validation is not established, while adding a general environmental-data variability claim not directly supported by the supplied passages."
EV0060,westbench-v0.1-cough-10,R2,partially_supported,"P1: Cough-challenge methods varied across protocols and delivery choices.
P2: Outcome measures varied in validation and applicability to chronic respiratory diseases.
P3: The honey review reported risk-of-bias and evidence-certainty limitations.",P1=partially_covered; P2=covered; P3=not_covered,3,1,1,1,0,0.3333333333333333,0.5,False,0,False,,high,Clearly covers unvalidated/non-disease-specific outcome measures; mentions methodological heterogeneity only generally and omits the honey review limitation.
EV0061,westbench-v0.1-constipation-09,R3,supported,"P1: The prevalence review estimates frequency and associated factors across Asian populations.
P2: The intervention review evaluates improvement when neuromodulation is added to other therapy.",P1=covered; P2=partially_covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,"Correctly describes the prevalence review and broadly identifies the nerve-stimulation review as a treatment-effectiveness review, but omits the specific adjuvant/add-on comparison."
EV0062,westbench-v0.1-constipation-05,R0,supported,P1: The review describes several digital administration formats but notes limited reporting about digitization and validation procedures.,P1=covered,1,1,0,0,0,1,1,True,1,False,,high,Covers the digital administration formats and missing digitization/validation reporting; the added claim about improving patient engagement is not supported by the supplied passages.
EV0063,westbench-v0.1-dyspepsia-08,R3,supported,"P1: One source frames cognitive-behavioral stress management around stress-related symptoms.
P2: Another reports that structured physical activity may improve symptoms and disease-specific quality of life.",P1=partially_covered; P2=covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,"Clearly covers structured physical-activity benefit and stress/relaxation context, but does not specifically describe the cognitive-behavioral stress-management framing in the frozen point."
EV0064,westbench-v0.1-cough-06,R2,supported,"P1: Programs combined components such as cough suppression, education, laryngeal care, breathing exercises, counseling, and related therapies.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately identifies the multi-component cough programs, including education, laryngeal care/hydration, cough suppression/control, psychoeducational counseling, breathing exercises, and speech/physiotherapy components."
EV0065,westbench-v0.1-dyspepsia-03,R2,supported,"P1: Pooled symptom improvement favored acotiamide but did not reach statistical significance.
P2: The analyzed adverse-effect outcomes did not differ significantly from placebo.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,The answer correctly states that pooled symptom improvement favored acotiamide without statistical significance and that analyzed adverse-effect outcomes did not significantly differ from placebo.
EV0066,westbench-v0.1-cough-02,R3,supported,P1: Monitoring periods varied from 6 to 24 hours and studies reported several cough-frequency units.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately reports the 6–24 hour recording range and the reported frequency units (total coughs, coughs/hour, cough seconds, cough events)."
EV0067,westbench-v0.1-dyspepsia-12,R3,insufficient,,,0,0,0,0,0,,,True,1,False,appropriate_bounded_insufficiency,high,"The answer correctly says no head-to-head superiority conclusion is supported, but adds an individual-patient variability claim not established by the supplied passages."
EV0068,westbench-v0.1-constipation-04,R2,supported,P1: The pooled studies favored transcutaneous neuromodulation used with other therapies over comparison care.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer communicates that adding transcutaneous neuromodulation to pelvic-floor care showed positive benefit versus comparison care, while appropriately noting evidence limitations."
EV0069,westbench-v0.1-cough-07,R2,supported,"P1: Crowdsourced cough datasets can contain variable numbers of coughs per recording and class imbalance between COVID-19-positive and healthy samples.
P2: The reviewed systems also raised methodological concerns including possible overfitting and uncertain laboratory confirmation in some datasets.",P1=not_covered; P2=partially_covered,2,0,1,1,0,0,0.25,True,2,True,,medium,Covers the overfitting concern but not uncertain laboratory confirmation. It misstates which classifier was used to assess overfitting and adds broader dataset-diversity/generalizability claims not established by the supplied passages.
EV0070,westbench-v0.1-headache-12,R1,insufficient,P1: The review identifies head-to-head comparisons and long-term outcomes as continuing research needs.,P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,appropriate_bounded_insufficiency,high,"The answer correctly says no direct head-to-head comparison establishes a best treatment, but does not clearly identify long-term comparative outcomes themselves as an ongoing evidence need."
EV0071,westbench-v0.1-dyspepsia-06,R3,supported,P1: A prospective study summary supports both brain-to-gut and gut-to-brain pathways over follow-up.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer accurately describes evidence for both brain-to-gut and gut-to-brain pathways over follow-up, indicating a bidirectional relationship."
EV0072,westbench-v0.1-cough-10,R1,partially_supported,"P1: Cough-challenge methods varied across protocols and delivery choices.
P2: Outcome measures varied in validation and applicability to chronic respiratory diseases.
P3: The honey review reported risk-of-bias and evidence-certainty limitations.",P1=covered; P2=partially_covered; P3=not_covered,3,1,1,1,0,0.3333333333333333,0.5,False,0,False,,high,"Explicitly covers tussive-agent/delivery heterogeneity; discusses variable outcome endpoints but not their validation/applicability, and omits the honey review limitation."
EV0073,westbench-v0.1-dyspepsia-06,R0,supported,P1: A prospective study summary supports both brain-to-gut and gut-to-brain pathways over follow-up.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer accurately describes evidence for both brain-to-gut and gut-to-brain pathways over follow-up, indicating a bidirectional relationship."
EV0074,westbench-v0.1-headache-09,R3,supported,"P1: One source describes substantial disability and societal burden from migraine and other primary headaches.
P2: Another finds that neurophysiological research has concentrated on sensory features and leaves important dimensions underexplored.",P1=covered; P2=partially_covered,2,1,1,0,0,0.5,0.75,False,0,False,,high,"The answer captures the substantial societal/disability burden and sensory-oriented MEG work, but does not clearly state that the affective dimension is largely underexplored."
EV0075,westbench-v0.1-dyspepsia-04,R1,supported,P1: The reviewed study reported frequent anxiety-depression status and associations with demographic and stress-related factors.,P1=covered,1,1,0,0,0,1,1,True,1,False,,medium,Covers the expected anxiety/depression pattern and associated demographic/stress factors; the added statement that evidence does not consistently show a direct dyspepsia-depression association is not supported by the supplied passages.
EV0076,westbench-v0.1-dyspepsia-01,R3,supported,"P1: The review characterizes the condition with upper-abdominal discomfort, bloating, early satiety, and nausea without an identifiable organic cause.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"The answer characterizes functional dyspepsia with the expected upper-abdominal symptom pattern, including early satiety, bloating/nausea and absence of an explanatory organic cause."
EV0077,westbench-v0.1-dyspepsia-12,R0,insufficient,,,0,0,0,0,0,,,False,0,False,appropriate_bounded_insufficiency,high,The answer appropriately states that the supplied evidence does not provide a complete head-to-head comparison establishing a superior non-drug strategy.
EV0078,westbench-v0.1-dyspepsia-03,R3,supported,"P1: Pooled symptom improvement favored acotiamide but did not reach statistical significance.
P2: The analyzed adverse-effect outcomes did not differ significantly from placebo.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,The answer correctly states that pooled symptom improvement favored acotiamide without statistical significance and that analyzed adverse-effect outcomes did not significantly differ from placebo.
EV0079,westbench-v0.1-cough-04,R0,supported,"P1: Selected pediatric cough outcomes improved in the reviewed studies.
P2: The certainty of the evidence was generally low or very low, with risk-of-bias limitations reported by the review.",P1=covered; P2=covered,2,2,0,0,0,1,1,False,0,False,,high,Reports pediatric cough benefits for selected outcomes and clearly preserves the review's low/very-low certainty and risk-of-bias/imprecision limitations.
EV0080,westbench-v0.1-cough-07,R0,supported,"P1: Crowdsourced cough datasets can contain variable numbers of coughs per recording and class imbalance between COVID-19-positive and healthy samples.
P2: The reviewed systems also raised methodological concerns including possible overfitting and uncertain laboratory confirmation in some datasets.",P1=not_covered; P2=partially_covered,2,0,1,1,0,0,0.25,True,2,True,,medium,Covers the overfitting concern but replaces the expected uncertainty about laboratory confirmation with a broader laboratory-dataset/generalizability claim. It also adds unsupported cross-study data-collection variability.
EV0081,westbench-v0.1-constipation-12,R1,insufficient,P1: Both intervention reviews identify important trial-design limitations and needs for stronger randomized evidence.,P1=partially_covered,1,0,1,0,0,0,0.5,True,1,False,appropriate_bounded_insufficiency,high,"Appropriately states that the long-term comparison is not established and notes pediatric neuromodulation trial limitations, but does not cover both intervention reviews; the claim that standard therapy remains the primary approach is not supported by this row's evidence."
