repeat_id,question_id,c1_full_recall,c2_full_recall,c1_partial_or_better,c2_partial_or_better,c1_missing_rate,c2_missing_rate,c1_contradiction_rate,c2_contradiction_rate,delta_full_recall,delta_partial_or_better,delta_missing_rate,delta_contradiction_rate
REPEAT_2,tcmg-v1-022,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-023,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-024,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-025,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-026,1,0.5,1,1,0,0,0,0,-0.5,0,0,0
REPEAT_2,tcmg-v1-027,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-028,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-029,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-030,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-031,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-032,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-057,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-034,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-035,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-036,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-037,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-038,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-040,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-058,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-044,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-045,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-046,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0,0,0,0.33333333333333337,0.33333333333333337,-0.3333333333333333,0
REPEAT_2,tcmg-v1-047,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-048,0.3333333333333333,1,1,1,0,0,0,0,0.6666666666666667,0,0,0
REPEAT_2,tcmg-v1-059,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_2,tcmg-v1-050,0.3333333333333333,1,1,1,0,0,0,0,0.6666666666666667,0,0,0
REPEAT_3,tcmg-v1-051,0.6666666666666666,0.6666666666666666,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-002,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-052,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-004,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-005,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-006,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-007,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-053,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0
REPEAT_3,tcmg-v1-054,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-010,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-011,1,0.6666666666666666,1,0.6666666666666666,0,0.3333333333333333,0,0,-0.33333333333333337,-0.33333333333333337,0.3333333333333333,0
REPEAT_3,tcmg-v1-012,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
REPEAT_3,tcmg-v1-055,0,0,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-056,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-015,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-016,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-017,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-018,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-019,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-022,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-023,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-024,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-025,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-026,1,0.5,1,1,0,0,0,0,-0.5,0,0,0
REPEAT_3,tcmg-v1-027,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-028,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-029,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-030,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-031,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-032,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-057,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-034,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-035,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-036,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-037,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-038,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-040,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-058,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-044,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-045,0.6666666666666666,1,1,1,0,0,0,0,0.33333333333333337,0,0,0
REPEAT_3,tcmg-v1-046,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0,0,0,0.33333333333333337,0.33333333333333337,-0.3333333333333333,0
REPEAT_3,tcmg-v1-047,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-059,1,1,1,1,0,0,0,0,0,0,0,0
REPEAT_3,tcmg-v1-050,0.3333333333333333,1,1,1,0,0,0,0,0.6666666666666667,0,0,0
