item_id,repeat_id,condition,anonymous_system_label,question_id,question,domain,difficulty,gold_atomic_fact,supplied_evidence,answer,review_label,review_reason,confidence
REPEAT_3-0011,REPEAT_3,C1,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,The source associates Fengla with these meridians: Spleen.,"Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Fengla is recorded with traditional properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. The traditional class of Fengla includes Medicinal For Detoxification, Parasiticide, and Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0012,REPEAT_3,C1,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,The source lists Fengla in this traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.,"Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Fengla is recorded with traditional properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. The traditional class of Fengla includes Medicinal For Detoxification, Parasiticide, and Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0013,REPEAT_3,C2,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,"The source records Odoriferous Rosewood as having these traditional properties: Pungent,Warm.","Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Herbal Knowledge Agent: Odoriferous Rosewood is recorded in traditional Chinese medicine as having pungent and warm properties, acting on the liver and spleen meridians, and classified as a Qi Regulating Drug. Its source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. It is also noted for shortening the plasma recalcification time in rabbits. The herb's oil variant is associated with the liver and heart meridians and is used for treating epigastric pain, costal and hypochondriac pains due to liver qi stagnancy, angina pectoris, traumatic injuries, and bleeding. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
REPEAT_3-0014,REPEAT_3,C2,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,"The source associates Odoriferous Rosewood with these meridians: Liver,Spleen.","Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Herbal Knowledge Agent: Odoriferous Rosewood is recorded in traditional Chinese medicine as having pungent and warm properties, acting on the liver and spleen meridians, and classified as a Qi Regulating Drug. Its source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. It is also noted for shortening the plasma recalcification time in rabbits. The herb's oil variant is associated with the liver and heart meridians and is used for treating epigastric pain, costal and hypochondriac pains due to liver qi stagnancy, angina pectoris, traumatic injuries, and bleeding. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0015,REPEAT_3,C2,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,The source lists Odoriferous Rosewood in this traditional class: Qi Regulating Drugs.,"Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Herbal Knowledge Agent: Odoriferous Rosewood is recorded in traditional Chinese medicine as having pungent and warm properties, acting on the liver and spleen meridians, and classified as a Qi Regulating Drug. Its source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. It is also noted for shortening the plasma recalcification time in rabbits. The herb's oil variant is associated with the liver and heart meridians and is used for treating epigastric pain, costal and hypochondriac pains due to liver qi stagnancy, angina pectoris, traumatic injuries, and bleeding. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0016,REPEAT_3,C1,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,"The source records Odoriferous Rosewood as having these traditional properties: Pungent,Warm.","Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Odoriferous Rosewood is recorded in traditional Chinese medicine with properties of Pungent and Warm. It is associated with the Liver and Spleen meridians. Its traditional class is Qi Regulating Drugs. The herb's source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. Clinical manifestations include shortening the plasma recalcification time in rabbits. Odoriferous Rosewood oil, derived from Dalbergia odorifera, is also used, with properties of Warm and Pungent, and it affects the Liver and Heart meridians. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
REPEAT_3-0017,REPEAT_3,C1,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,"The source associates Odoriferous Rosewood with these meridians: Liver,Spleen.","Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Odoriferous Rosewood is recorded in traditional Chinese medicine with properties of Pungent and Warm. It is associated with the Liver and Spleen meridians. Its traditional class is Qi Regulating Drugs. The herb's source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. Clinical manifestations include shortening the plasma recalcification time in rabbits. Odoriferous Rosewood oil, derived from Dalbergia odorifera, is also used, with properties of Warm and Pungent, and it affects the Liver and Heart meridians. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0018,REPEAT_3,C1,SYSTEM_A,tcmg-v1-052,"What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?",herbal,easy,The source lists Odoriferous Rosewood in this traditional class: Qi Regulating Drugs.,"Source entity: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs. Source text: Herb: Odoriferous Rosewood. Pinyin: Jiangxiang. Latin name: Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum. Traditional properties: Pungent,Warm. Meridians: Liver,Spleen. Traditional class: Qi Regulating Drugs.","TCM educational synthesis: Odoriferous Rosewood is recorded in traditional Chinese medicine with properties of Pungent and Warm. It is associated with the Liver and Spleen meridians. Its traditional class is Qi Regulating Drugs. The herb's source-recorded function includes relieving pain by promoting the circulation of qi and blood, and arresting bleeding. Clinical manifestations include shortening the plasma recalcification time in rabbits. Odoriferous Rosewood oil, derived from Dalbergia odorifera, is also used, with properties of Warm and Pungent, and it affects the Liver and Heart meridians. [tcmv1-0338b6eb60296f2cf461aece] [tcmv1-6692c4873ccd6fe5f7554bb6] [tcmv1-3327169c303163d969ce592d]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0019,REPEAT_3,C2,SYSTEM_A,tcmg-v1-004,"What traditional properties, meridians, and class are recorded for Luganshi?",herbal,easy,"The source records Luganshi as having these traditional properties: Sweet,Calm.","Source entity: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity). Source text: Herb: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity).","TCM educational synthesis: Herbal Knowledge Agent: Luganshi is recorded in traditional Chinese medicine with properties of Sweet and Calm, and it is associated with the Liver and Spleen meridians. Its traditional class is categorized as External Medicinal, specifically for Draw Out Toxin and Resolve Putridity. [tcmv1-00ae7b90991a0ec6b5f3e13e] [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
REPEAT_3-0020,REPEAT_3,C2,SYSTEM_A,tcmg-v1-004,"What traditional properties, meridians, and class are recorded for Luganshi?",herbal,easy,"The source associates Luganshi with these meridians: Liver,Spleen.","Source entity: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity). Source text: Herb: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity).","TCM educational synthesis: Herbal Knowledge Agent: Luganshi is recorded in traditional Chinese medicine with properties of Sweet and Calm, and it is associated with the Liver and Spleen meridians. Its traditional class is categorized as External Medicinal, specifically for Draw Out Toxin and Resolve Putridity. [tcmv1-00ae7b90991a0ec6b5f3e13e] [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0021,REPEAT_3,C2,SYSTEM_A,tcmg-v1-004,"What traditional properties, meridians, and class are recorded for Luganshi?",herbal,easy,"The source lists Luganshi in this traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity).","Source entity: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity). Source text: Herb: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity).","TCM educational synthesis: Herbal Knowledge Agent: Luganshi is recorded in traditional Chinese medicine with properties of Sweet and Calm, and it is associated with the Liver and Spleen meridians. Its traditional class is categorized as External Medicinal, specifically for Draw Out Toxin and Resolve Putridity. [tcmv1-00ae7b90991a0ec6b5f3e13e] [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0022,REPEAT_3,C1,SYSTEM_A,tcmg-v1-004,"What traditional properties, meridians, and class are recorded for Luganshi?",herbal,easy,"The source records Luganshi as having these traditional properties: Sweet,Calm.","Source entity: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity). Source text: Herb: Luganshi. Pinyin: Luganshi. Latin name: Calamina. Traditional properties: Sweet,Calm. Meridians: Liver,Spleen. Traditional class: External Medicinal (Draw Out Toxin, Resolve Putridity).","TCM educational synthesis: Luganshi is recorded with traditional properties of Sweet and Calm, and it affects the Liver and Spleen meridians. Its traditional class is categorized as External Medicinal, specifically for Draw Out Toxin and Resolve Putridity. [tcmv1-00ae7b90991a0ec6b5f3e13e] [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
