question_id,c1_full_recall,c2_full_recall,c1_partial_or_better,c2_partial_or_better,c1_missing_rate,c2_missing_rate,c1_contradiction_rate,c2_contradiction_rate,c1_latency_ms,c2_latency_ms,delta_latency_ms,c1_retrieval,c2_retrieval,c1_citation_recall,c2_citation_recall,c1_citation_precision,c2_citation_precision
tcmg-v1-015,1,1,1,1,0,0,0,0,24718,5259,NaN,1,1,1,1,1,1
tcmg-v1-016,1,1,1,1,0,0,0,0,35163,49211,NaN,1,1,1,1,1,1
tcmg-v1-017,1,1,1,1,0,0,0,0,20562,14861,NaN,1,1,1,1,1,1
tcmg-v1-018,1,1,1,1,0,0,0,0,21703,17628,NaN,1,1,1,1,1,1
tcmg-v1-019,1,1,1,1,0,0,0,0,3570,3547,NaN,1,1,1,1,1,1
tcmg-v1-022,1,1,1,1,0,0,0,0,19302,30959,NaN,1,1,1,1,1,1
tcmg-v1-023,1,1,1,1,0,0,0,0,19791,4337,NaN,1,1,1,1,1,1
tcmg-v1-024,1,1,1,1,0,0,0,0,3357,14950,NaN,1,1,1,1,1,1
tcmg-v1-025,1,1,1,1,0,0,0,0,29117,6177,NaN,1,1,1,1,1,1
tcmg-v1-026,1,0.5,1,1,0,0,0,0,4391,4409,NaN,1,1,1,1,1,1
tcmg-v1-027,1,1,1,1,0,0,0,0,5279,5337,NaN,1,1,1,1,1,1
tcmg-v1-028,1,1,1,1,0,0,0,0,5357,3757,NaN,1,1,1,1,1,1
tcmg-v1-029,1,1,1,1,0,0,0,0,33405,4048,NaN,1,1,1,1,0.6666666666666666,0.6666666666666666
tcmg-v1-030,1,1,1,1,0,0,0,0,3911,18799,NaN,1,1,1,1,1,1
tcmg-v1-031,1,1,1,1,0,0,0,0,24936,4310,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-032,1,1,1,1,0,0,0,0,49167,5267,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-057,1,1,1,1,0,0,0,0,43220,15661,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-034,0,0,1,1,0,0,0,0,30232,5059,NaN,0,0,0,0,0,0
tcmg-v1-035,1,1,1,1,0,0,0,0,2972,3273,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-036,1,1,1,1,0,0,0,0,15615,28297,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-037,1,1,1,1,0,0,0,0,20954,4389,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-038,1,1,1,1,0,0,0,0,14419,13492,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-040,1,1,1,1,0,0,0,0,8407,14348,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-058,1,1,1,1,0,0,0,0,4972,3988,NaN,1,1,1,1,1,1
tcmg-v1-044,1,1,1,1,0,0,0,0,5003,43667,NaN,1,1,1,1,1,1
tcmg-v1-045,1,1,1,1,0,0,0,0,5852,31730,NaN,1,1,1,1,1,0.6666666666666666
tcmg-v1-046,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0,0,0,22802,5196,NaN,1,1,1,1,0.6666666666666666,0.5
tcmg-v1-047,1,1,1,1,0,0,0,0,35859,4198,NaN,1,1,1,1,1,1
tcmg-v1-048,0.3333333333333333,1,0.6666666666666666,1,0.3333333333333333,0,0,0,29063,14455,NaN,1,1,1,1,1,1
tcmg-v1-059,1,1,1,1,0,0,0,0,5213,30206,NaN,1,1,1,1,1,1
tcmg-v1-050,0.3333333333333333,1,0.6666666666666666,1,0.3333333333333333,0,0,0,5502,25296,NaN,1,1,1,1,1,1
