item_id,question_id,anonymous_system_label,question,gold_atomic_fact,source_evidence,answer,review_label,review_reason,confidence
RQ4-rq4-v1-075-SYSTEM_B-F01,rq4-v1-075,SYSTEM_B,What does TCM Research Corpus v1 record about kidney yang deficiency?,"The source defines kidney yang deficiency as: 肾阳虚证是指肾阳亏虚,机体失其温煦,以腰膝酸冷、性欲减退、夜尿多及阳虚症状为主要表现的证。","Source entity: kidney yang deficiency. Source: SymMap v2. Syndrome: kidney yang deficiency. Pinyin: Shen Yang Xu Shuai. Source definition: 肾阳虚证是指肾阳亏虚,机体失其温煦,以腰膝酸冷、性欲减退、夜尿多及阳虚症状为主要表现的证。.","TCM educational synthesis: Syndrome Differentiation Agent: The TCM Research Corpus v1 records that kidney yang deficiency, or 肾阳虚证, is characterized by the kidney's yang energy being insufficient, leading to a lack of warming and nourishing functions in the body. This syndrome presents with symptoms such as lower back and knee coldness, reduced sexual desire, frequent nighttime urination, and other signs of yang deficiency. It is described as a type of yang deficiency syndrome, with the general definition of yang deficiency indicating a loss of warmth, vitality, and function in the body's systems. [tcmv1-64ff7ed25cdb79f8a4931d5f] [tcmv1-148d30f7b4c12eeee9c8d20e] [tcmv1-78ee1bdd9d36b448ce5ddb01]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-029-SYSTEM_B-F02,rq4-v1-029,SYSTEM_B,"What traditional properties, meridians, and class does Corpus v1 record for rhizome of Chinese Goldthread?","The source records the meridians of rhizome of Chinese Goldthread as: Heart,Spleen,Stomach,Liver,Gallbladder,Large Intestine.","Source entity: rhizome of Chinese Goldthread. Source: SymMap v2. Herb: rhizome of Chinese Goldthread. Pinyin: Huanglian. Latin name: Rhizoma Coptidis,Coptidis Rhizoma. Traditional properties: Bitter,Cold. Meridians: Heart,Spleen,Stomach,Liver,Gallbladder,Large Intestine. Traditional class: Heat-Clearing And Dampnessdrying Medicinal. Used part: rhizome.","Corpus v1 records the rhizome of Chinese Goldthread as having traditional properties of Bitter and Cold. It is associated with the Heart, Spleen, Stomach, Liver, Gallbladder, and Large Intestine meridians. The traditional class of this herb is Heat-Clearing And Dampness-drying Medicinal. [tcmv1-0a9c67e95c6ef9aafc06a42a]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-046-SYSTEM_A-F02,rq4-v1-046,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Cabbage?","The source records the indication of Cabbage as: Damp-heat jaundice, pain from ulcer in digestive tract, stiffness in joints, vacuity detriment..","Source entity: Cabbage. Source: TCMBank. Herb: Cabbage. Pinyin: GAN LAN. Latin name: Brassica oleracea var. capitata. Traditional properties: Mild; Sweet; Sour; Punkery. Meridians: Lung. Used part: leaf. Source-recorded function: To clear heat and disinhibit damp, dissipate binds and relieve pain, boost kidney and supplement vacuity.. Source-recorded indication: Damp-heat jaundice, pain from ulcer in digestive tract, stiffness in joints, vacuity detriment..","TCM educational synthesis: Herbal Knowledge Agent: Cabbage is recorded in the supplied evidence as an herb with the pinyin name GAN LAN and the Latin name Brassica oleracea var. capitata. It is traditionally associated with the lung meridian and used in its leaf form. The source-reported functions include clearing heat, disinhibiting damp, dissipating binds and relieving pain, as well as boosting kidney function and supplementing vacuity. Its indications are reported to address damp-heat jaundice, pain from ulcer in the digestive tract, stiffness in joints, and vacuity detriment. [tcmv1-0ba053b849882a2fe8f0714d] [tcmv1-a900a3957edc34bd4d5002f5] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-047-SYSTEM_A-F02,rq4-v1-047,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Japanese Clave Fern?","The source records the indication of Japanese Clave Fern as: Wind-heat common cold, cough, sore pharynx, diarrhea, dysentery, dribbling pain of urination, damp-heat jaundice, blood ejection, coughing of blood, hematochezia, bleeding from hemorrhoids, hematuria, sore toxin, knocks and falls, poisonous snake bites, burns and scalds..","Source entity: Japanese Clave Fern. Source: TCMBank. Herb: Japanese Clave Fern. Pinyin: XIAO YE JI WEI. Latin name: Onychium japonicum [Syn. Tricomanes japonicum]. Used part: whole herb or leaf. Source-recorded function: To clear heat and resolve toxin, disinhibit damp, stanch bleeding.. Source-recorded indication: Wind-heat common cold, cough, sore pharynx, diarrhea, dysentery, dribbling pain of urination, damp-heat jaundice, blood ejection, coughing of blood, hematochezia, bleeding from hemorrhoids, hematuria, sore toxin, knocks and falls, poisonous snake bites, burns and scalds..","Japanese Clave Fern is recorded as an herb with the pinyin name XIAO YE JI WEI and the Latin name Onychium japonicum [Syn. Tricomanes japonicum]. It is used as a whole herb or leaf. Its functions include clearing heat and resolving toxin, disinhibiting damp, and stanching bleeding. Indications include wind-heat common cold, cough, sore pharynx, diarrhea, dysentery, dribbling pain of urination, damp-heat jaundice, blood ejection, coughing of blood, hematochezia, bleeding from hemorrhoids, hematuria, sore toxin, knocks and falls, poisonous snake bites, burns and scalds. [tcmv1-0ba5c0feb121bec04cd113d9]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-001-SYSTEM_B-F02,rq4-v1-001,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Smoked Plum?","The source records the indication of Smoked Plum as: Enduring cough, chronic diarrhea and dysentery, hematuria, hematochezia, flooding and spotting, vacuity heat with vexation and thirst, roundworm reversal with abdominal pain, outcrop of sore and welling abscess..","Source entity: Smoked Plum. Source: TCMBank. Herb: Smoked Plum. Pinyin: WU MEI. Latin name: Fructus Mume. Traditional properties: Mild; Sour. Meridians: Lung; Spleen; Stomach; Liver. Used part: unripe fruit. Source-recorded function: To arrest persistent cough, to relieve diarrhea by astringing the intestines, to promote the production of body fluid, and to relieve colic caused by ascaris.. Source-recorded indication: Enduring cough, chronic diarrhea and dysentery, hematuria, hematochezia, flooding and spotting, vacuity heat with vexation and thirst, roundworm reversal with abdominal pain, outcrop of sore and welling abscess.. Clinical manifestations: 1. It possesses a broad-spectrum antibiotic effect and contains citric acid, malic acid, succine acid, tartaric acid and oleanolic acid.2. Paralysing the roundworm in vitro..","Smoked Plum, known as Wumei, is traditionally classified as an Astringent Medicinal herb in TCM. Its used part is the unripe fruit. It is associated with the meridians of Liver, Spleen, Lung, and Large Intestine. The herb is reported to have sour and astringent properties, and it is traditionally considered to have a calming effect. [tcmv1-4db47c3158de162938a649c4]",NOT_SUPPORTED,"The answer gives properties, meridians, class, and used part but does not state the source-recorded Gold function/indication.",HIGH
RQ4-rq4-v1-009-SYSTEM_A-F01,rq4-v1-009,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Japanese Conehead?","The source records the function of Japanese Conehead as: To quicken blood and free menstruation, transform stasis and move water..","Source entity: Japanese Conehead. Source: TCMBank. Herb: Japanese Conehead. Pinyin: HONG ZE LAN. Latin name: Strobilanthes japonicus [Syn. Championella japonica]. Used part: whole herb. Source-recorded function: To quicken blood and free menstruation, transform stasis and move water.. Source-recorded indication: Menstrual disorder, dysmenorrhea, amenorrhea, postpartum abdominal pain, concretion and conglomeration, swollen welling abscess, knocks and falls..","Japanese Conehead is used as a whole herb in traditional Chinese medicine. Its functions include quickening blood and freeing menstruation, as well as transforming stasis and moving water. It is traditionally used to treat menstrual disorder, dysmenorrhea, amenorrhea, postpartum abdominal pain, concretion and conglomeration, swollen welling abscess, and knocks and falls. [tcmv1-1b5fa36f4665e439f84f698f]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-040-SYSTEM_A-F01,rq4-v1-040,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for African Myrsine?","The source records the function of African Myrsine as: To dispel wind and relieve pain, clear heat and disinhibit damp, promote contraction and stanch bleeding..","Source entity: African Myrsine. Source: TCMBank. Herb: African Myrsine. Pinyin: TIE ZI. Latin name: Myrsine africana. Used part: root or herb. Source-recorded function: To dispel wind and relieve pain, clear heat and disinhibit damp, promote contraction and stanch bleeding.. Source-recorded indication: Wind-damp impediment pain, toothache, diarrhea, dysentery, flooding, hematochezia, tuberculosis and hemoptysis..","African Myrsine is used in traditional Chinese medicine with the source-recorded functions of dispelling wind and relieving pain, clearing heat and disinhibiting damp, and promoting contraction and stopping bleeding. The used part is the root or herb. The indications include wind-damp impediment pain, toothache, diarrhea, dysentery, flooding, hematochezia, tuberculosis, and hemoptysis. [tcmv1-0b17ad55127eb2038ec92516]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-025-SYSTEM_A-F03,rq4-v1-025,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Goldon-belt?",The source records the used part of Goldon-belt as: lichen.,"Source entity: Goldon-belt. Source: TCMBank. Herb: Goldon-belt. Pinyin: JIN YAO DAI. Latin name: Lethariella zahlbruckneri. Used part: lichen. Source-recorded function: To dispel wind and eliminate damp, quicken blood and regulate menstruation, stanch bleeding and settle pain.. Source-recorded indication: Taxation damage pain in lumbus and legs, menstrual disorder, leukorrhea, incised wound and bleeding, dizziness..","Goldon-belt, with the pinyin JIN YAO DAI and Latin name Lethariella zahlbruckneri, is used in TCM for its lichen part. Its functions include dispelling wind and eliminating damp, quickening blood and regulating menstruation, and stanching bleeding while settling pain. It is indicated for damage pain in the lumbus and legs, menstrual disorder, leukorrhea, incised wounds and bleeding, and dizziness. [tcmv1-0a803fab88d3e828cb6571e0]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-092-SYSTEM_A-F01,rq4-v1-092,SYSTEM_A,"How are Xiqingguo and abnormal rising of qi represented separately in TCM Research Corpus v1, and what evidence is recorded for each?","The source records the traditional properties of Xiqingguo as: Bitter,Sour,Astringent,Calm.","Source entity: Xiqingguo. Source: SymMap v2. Herb: Xiqingguo. Pinyin: Xiqingguo. Latin name: Chebulae Fructus Immaturus. Traditional properties: Bitter,Sour,Astringent,Calm. Meridians: Lung,Large Intestine. Traditional class: Heat-Clearing Medicinal.",C4 execution failed because a required LLM debate stage did not complete.,NOT_SUPPORTED,The answer is an execution-failure message and does not state the Gold atomic fact.,HIGH
RQ4-rq4-v1-024-SYSTEM_A-F03,rq4-v1-024,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Wild Carrot?",The source records the used part of Wild Carrot as: whole herb.,"Source entity: Wild Carrot. Source: TCMBank. Herb: Wild Carrot. Pinyin: HE SHI FENG. Latin name: Daucus carota. Used part: whole herb. Source-recorded function: To kill worms, disperse swelling, disperse qi , transform phlegm.. Source-recorded indication: Worm accumulation, gan accumulation, distention fullness in stomach duct and abdomen, edema, jaundice, poison from smoke, damp itchy in sore and papules, alopecia areata..","TCM educational synthesis: Herbal Knowledge Agent: Wild Carrot is recorded in traditional Chinese medicine as Fructus Carotae, referring to its fruit. The pinyin name is NAN HE SHI. It is traditionally used for conditions such as ascariasis, oxyuria disease, taeniasis, ancylostomiasis, abdominal pain caused by worm accumulation, child gan accumulation, and pudendal itch. The evidence specifies the used part as the fruit and lists these source-recorded indications without further details. [tcmv1-4c87d1a2ae13d12f0f3efdcb] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",CONTRADICTED,"The Gold used part is whole herb, while the answer identifies fruit/Fructus Carotae instead.",HIGH
RQ4-rq4-v1-009-SYSTEM_B-F01,rq4-v1-009,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Japanese Conehead?","The source records the function of Japanese Conehead as: To quicken blood and free menstruation, transform stasis and move water..","Source entity: Japanese Conehead. Source: TCMBank. Herb: Japanese Conehead. Pinyin: HONG ZE LAN. Latin name: Strobilanthes japonicus [Syn. Championella japonica]. Used part: whole herb. Source-recorded function: To quicken blood and free menstruation, transform stasis and move water.. Source-recorded indication: Menstrual disorder, dysmenorrhea, amenorrhea, postpartum abdominal pain, concretion and conglomeration, swollen welling abscess, knocks and falls..","TCM educational synthesis: Herbal Knowledge Agent: Japanese Conehead, known as HONG ZE LAN in pinyin and Strobilanthes japonicus [Syn. Championella japonica] in Latin, is used as a whole herb in traditional Chinese medicine. The source records indicate its functions as quickening blood and freeing menstruation, as well as transforming stasis and moving water. It is traditionally used to treat menstrual disorders, dysmenorrhea, amenorrhea, postpartum abdominal pain, concretion and conglomeration, swollen welling abscesses, and knocks and falls. The evidence provided reflects these traditional claims without specifying mechanisms or validating them through modern biomedical research. [tcmv1-1b5fa36f4665e439f84f698f] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-081-SYSTEM_A-F01,rq4-v1-081,SYSTEM_A,What does TCM Research Corpus v1 record about affection by exopathic wind-cold?,"The source defines affection by exopathic wind-cold as: 风寒犯肺证是指由于风寒侵袭,肺卫失宣,以咳嗽及风寒表证症状为主要表现的证。","Source entity: affection by exopathic wind-cold. Source: SymMap v2. Syndrome: affection by exopathic wind-cold. Pinyin: Wai Gan Feng Han. Source definition: 风寒犯肺证是指由于风寒侵袭,肺卫失宣,以咳嗽及风寒表证症状为主要表现的证。.",C4 execution failed because a required LLM debate stage did not complete.,NOT_SUPPORTED,The answer is an execution-failure message and does not state the Gold atomic fact.,HIGH
RQ4-rq4-v1-056-SYSTEM_A-F01,rq4-v1-056,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Yunnan Rabdosia?","The source records the function of Yunnan Rabdosia as: To dispel wind and disinhibit damp, quicken blood and free menstruation, resolve toxin and disperse swelling..","Source entity: Yunnan Rabdosia. Source: TCMBank. Herb: Yunnan Rabdosia. Pinyin: BU YU HONG. Latin name: Rabdosia yuennanensis. Used part: rhizome or whole herb. Source-recorded function: To dispel wind and disinhibit damp, quicken blood and free menstruation, resolve toxin and disperse swelling.. Source-recorded indication: Common cold, wind-damp bone pain, hemiplegia, food accumulation, pain in stomach duct, dysentery, jaundice, dysmenorrhea, menstrual block, flooding and spotting [=metrorrhagia and metrostaxis], scrofula, syphilis, sores, measles papules, wind papules, scab and lai, knocks and falls, rabid dog bite, poisonous snake bites..","Yunnan Rabdosia is used in traditional Chinese medicine for its functions of dispelling wind and damp, quickening blood and freeing menstruation, and resolving toxin and dispersing swelling. It is indicated for conditions such as common cold, wind-damp bone pain, hemiplegia, food accumulation, pain in stomach duct, dysentery, jaundice, dysmenorrhea, menstrual block, flooding and spotting, scrofula, sores, measles papules, wind papules, scab and lai, knocks and falls, rabid dog bite, and poisonous snake bites. The used part is the rhizome or whole herb. The evidence does not provide detailed explanation of how the herb is used in practice or its preparation methods. [tcmv1-0c41fc89b3a9742c12ead509]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
