question_id,C2_full_recall,C2_partial_or_better,C2_missing,C2_contradiction,C4_full_recall,C4_partial_or_better,C4_missing,C4_contradiction
rq4-v1-046,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-047,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-048,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-049,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.0,0.0
rq4-v1-050,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-051,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
rq4-v1-052,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-053,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-054,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
rq4-v1-055,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
rq4-v1-056,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.0,0.0
rq4-v1-057,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-058,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.0,0.0
rq4-v1-060,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-061,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-062,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-063,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-064,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-065,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-066,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-068,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-069,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-070,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-071,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-072,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-073,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-074,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-075,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-076,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-078,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-079,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-080,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-083,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-085,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
rq4-v1-087,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-088,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0
rq4-v1-090,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0
rq4-v1-091,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-095,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0
rq4-v1-098,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-099,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0
rq4-v1-100,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
